elev_deg,tof_s,range_m,bearing_deg
5.0,12.760893425822985,7559.965576896441,1.0791762875033232e-18
7.0,17.2060711768154,9332.321414985752,3.7686413583418474e-18
9.0,21.34582054507245,10735.886155503662,5.413744389743641e-19
11.0,25.163998262621128,11886.331962349117,-4.972978986068043e-18
13.0,28.686933846635856,12867.068152708991,-4.5969616578550844e-18
15.0,31.991460382255593,13727.04333077908,9.195477727112316e-18
17.0,35.13012356084231,14493.703109180748,-4.2102893110462254e-18
19.0,38.1388957652392,15183.683047853536,-3.0785434499929357e-18
21.0,41.05749430339954,15803.909882040349,4.326439629124332e-18
23.0,43.9000687515396,16358.185410295962,3.956817753087737e-17
25.0,46.67409005823976,16849.215889818002,-1.1923007630186107e-17
27.0,49.3847508035297,17278.750299500647,3.084529434884665e-18
29.0,52.03553879525219,17647.928136373765,2.9644351544263383e-17
31.0,54.628762658170935,17957.46619560281,-1.9022554656705894e-17
33.0,57.165873567632374,18207.771899413518,-2.168536792372709e-18
35.0,59.65084278395858,18395.889433648135,-1.8461016836127727e-17
37.0,62.08429038686624,18519.322160326214,5.308304729854198e-18
39.0,64.46298655243892,18579.18001178095,1.033435666853882e-18
41.0,66.78509802661625,18575.58095000906,1.642635773609111e-17
43.0,69.04880436434352,18508.53130769187,3.192678008707912e-17
45.0,71.25239848828592,18377.455447296248,2.320080873453608e-18
47.0,73.39387123147164,18181.591620527568,-4.665534426758099e-19
49.0,75.47043033039168,17921.588249173896,-1.6129190555340664e-17
51.0,77.47936345902274,17597.791353214052,2.970120814966219e-17
53.0,79.41782622535865,17210.557713075286,2.789652404575632e-17
55.0,81.2828196921637,16760.30460617424,-3.7391799639252206e-17
57.0,83.07119485505008,16247.530453721447,-9.374743998325939e-18
59.0,84.7796669216741,15672.830517329478,-1.1543231669692075e-17
61.0,86.40483555948973,15036.913071069295,7.230852584398251e-18
63.0,87.94320110599287,14340.618161448221,-1.8400913101613663e-17
65.0,89.39116420947691,13584.940319463785,1.5973235110124607e-17
67.0,90.74510978949603,12771.056032188319,-2.825617785073026e-17
69.0,92.00145763547675,11900.357032844144,8.027656268307439e-17
71.0,93.1566970564598,10974.49052223389,1.31249183958088e-16
73.0,94.20742818691704,9995.407724768493,5.5989977376304545e-18
75.0,95.15040826692909,8965.421763152784,-5.3975800683251365e-17
77.0,95.98260269506157,7887.276475004533,1.1489105670797858e-16
79.0,96.70123917985048,6764.22790324188,-2.0227357508414126e-16
81.0,97.30386273624627,5600.140907678666,2.9181384292431857e-16
83.0,97.78838913313884,4399.605124216354,1.0657280923274254e-16
85.0,98.15315137733909,3168.078442418046,7.308781681978597e-17
87.0,98.3969341993774,1912.0791489033743,-2.651872459153684e-16
89.0,98.51898547488798,639.4968801182614,5.689758615286168e-16
