elev_deg,range_m,v0_mps
10.0,5627.590790083366,480.0
15.0,7451.952395991228,480.0
20.0,8957.17305413945,480.0
25.0,10171.657243409092,480.0
30.0,11095.239326248895,480.0
35.0,11717.481932979485,480.0
40.0,12034.985114902356,480.0
45.0,12044.871185563714,480.0
50.0,11750.392467900956,480.0
55.0,11157.07394918891,480.0
60.0,10273.232621836347,480.0
65.0,9110.740034238017,480.0
70.0,7686.270677399972,480.0
