elev_deg,range_6dof,range_akcay,range_err_m,range_err_pct,tof_6dof,tof_akcay,tof_err_s,tof_err_pct
10.0,5627.590792679981,5619.504074086652,-8.086718593329351,-0.1436977010454998,15.259778588134596,15.146024624079883,-0.1137539640547125,-0.74544963675399
12.0,6400.35177946223,6410.889782521179,10.538003058948561,0.16464724787102225,17.91985787670395,17.850459697036644,-0.06939817966730644,-0.3872696990388801
14.0,7114.524057893215,7134.646376080846,20.1223181876303,0.2828343543979667,20.498335500349192,20.47860149069106,-0.019734009658133544,-0.09627127850355154
16.0,7776.925584488444,7798.092008460895,21.166423972451412,0.2721695577834658,23.015324617083714,23.03824777766839,0.022923160584674918,0.09959955362810576
18.0,8390.630956747227,8406.55967571692,15.928718969693364,0.18983934643060987,25.48035464829991,25.535713915250476,0.055359266950564034,0.21726254486908286
20.0,8957.17306469609,8963.965600145455,6.7925354493654595,0.07583347335486507,27.897743169939105,27.976129610762875,0.07838644082377044,0.28097771330920723
22.0,9477.366901541784,9473.163396323107,-4.2035052186765824,-0.04435309155323251,30.2694112774755,30.363644281447662,0.09423300397216394,0.3113142938537623
24.0,9951.653189332841,9936.170128468539,-15.483060864302388,-0.1555828018695291,32.59606809383527,32.701553454490515,0.10548536065524416,0.32361375719175794
26.0,10380.256791949656,10354.314687632786,-25.942104316869518,-0.24991775094609178,34.8777654278599,34.9923646913392,0.11459926347929894,0.32857398423741496
28.0,10761.775468481479,10728.346252841622,-33.42921563985692,-0.31062918695676794,37.11776233590252,37.23784624431687,0.12008390841435101,0.323521410928909
30.0,11095.239331598468,11058.518037981348,-36.721293617119954,-0.3309644120297637,39.31469428872915,39.43906021567011,0.12436592694096049,0.31633446270142834
32.0,11380.487649599854,11344.654299308095,-35.833350291759416,-0.3148665627963608,41.46574774459692,41.596373057414816,0.13062531281789802,0.31501979325796386
34.0,11617.29583113513,11586.214750982512,-31.081080152618597,-0.2675414365305153,43.56895870551478,43.70947167775054,0.14051297223576142,0.32250707019531283
36.0,11805.502837463095,11782.36408249183,-23.13875497126537,-0.19599974088217406,45.622527696108456,45.77740028301943,0.15487258691097594,0.3394651605947436
38.0,11944.972293051092,11932.041299398692,-12.930993652400502,-0.1082546977519824,47.62477363827193,47.79858495885201,0.17381132058007864,0.364959888104122
40.0,12034.985125528618,12034.041947623708,-0.9431779049100442,-0.007836967765829428,49.574611652366016,49.770892196246784,0.19628054388076777,0.3959295642236262
42.0,12075.717308447274,12087.109417635214,11.39210918794015,0.09433898539485581,51.46987843831418,51.69170585314684,0.22182741483266,0.4309849208183318
44.0,12067.376889682233,12090.040159738151,22.663270055918474,0.1878061012190302,53.308633368965594,53.55805060679898,0.24941723783338432,0.4678740047734674
46.0,12010.183655684565,12041.788809552882,31.605153868316847,0.26315296064067883,55.089061328467196,55.36671029283924,0.277648964372041,0.5040001729500632
48.0,11904.410725492091,11941.590446448932,37.179720956841265,0.3123188691501097,56.80938426538032,57.114445869301235,0.30506160392091886,0.5369915690264286
50.0,11750.392471487428,11789.066303652562,38.67383216513372,0.32912800367286943,58.46783289320101,58.79818199998494,0.3303491067839275,0.565010007104851
