x,y,z,t
0.0,0.0,0.0,0.0
0.031332671104907076,0.032445930741161144,0.016416883558739066,0.0001
0.44585309336851203,0.4616943936803915,0.23359735468459,0.0014230047973609633
0.8866260947584785,0.9181281981201546,0.4645135582421944,0.0028298788897322567
1.3689501705457647,1.4175893996689095,0.717175677286703,0.0043694718318538495
1.8789346920953789,1.9456938312975152,0.9843022441641922,0.0059974654321236325
2.4380578650960865,2.524682826082517,1.277137445751074,0.007782448667836662
2.993846365658084,3.1002186664706723,1.5681951768770914,0.00955691794448304
3.426930944304377,3.548690876094125,1.7949733796181617,0.010939720827787018
3.86527421585546,4.002608621631403,2.0244861217695704,0.012339395587507514
4.347905976595706,4.502388440276046,2.277165710219527,0.013880582630420267
4.840859653166665,5.0128569156597855,2.5352252416897167,0.015454833010448157
5.384151901231955,5.57545250777882,2.8196086850497766,0.017189959770834002
5.954961747301083,6.166543406793531,3.11836426111299,0.019013105618552368
6.415515347621016,6.643460621050208,3.3593891731748626,0.02048419818453654
6.8790717680691404,7.123487346576487,3.601964141205296,0.021964973537122172
7.34526012585685,7.606239523001905,3.8458946909058582,0.023454248611124766
7.822219386565294,8.100145295908638,4.095438546019025,0.02497802798983529
8.3512184704126,8.647939883199964,4.372182868359133,0.026668176452696965
8.929045500380829,9.246297288859637,4.674439373765421,0.028514466115946515
9.410136399657397,9.74448149874929,4.926068510806909,0.030051770228144155
9.892769445489671,10.244262648145684,5.178480960961164,0.031594101303250764
10.340913172065338,10.708329061949858,5.4128349399966975,0.033026305126045236
10.816157167779519,11.200458625958847,5.661338858231095,0.03454521108371227
11.33135815049501,11.73396486125543,5.930710627168249,0.03619193051989821
11.895322799790554,12.317967351507232,6.225547889030728,0.03799464132779806
12.44499544449685,12.887170037762035,6.512882708123949,0.03975179827873706
12.876039237551627,13.333528952041524,6.738184526499546,0.041129820522100874
13.30295394985023,13.775612078029907,6.961309763465351,0.04249472041762801
13.791306925199248,14.281316387833634,7.216523054911962,0.04405614144536846
14.289720800296303,14.797439064310463,7.476969518601941,0.045649835261586134
14.837966699772476,15.36516431262942,7.763426966477148,0.04740299088329474
15.402554047800875,15.949811626295451,8.058391285747549,0.049208536429159795
15.85336062576243,16.416635503430832,8.293888760359327,0.05065030966497828
16.307866411385017,16.88729002223622,8.531298031171106,0.052104001500592904
16.779664105194428,17.375850836152345,8.777717738111344,0.05361309301795776
17.262092398706272,17.875419958314115,9.029666706914401,0.055156285762201974
17.795739648366553,18.4280278622083,9.308337653018299,0.05686343350267916
18.374149741848505,19.0269890478113,9.610351506722699,0.05871391567520847
18.84672064605494,19.51635054453248,9.857077044840475,0.06022589712624454
19.32140262179634,20.007898119822702,10.104882186000449,0.061744728863105634
19.77648999896343,20.479154894302667,10.342436831364576,0.06320095440207
20.24518584120134,20.964503646887625,10.58707332727919,0.0647008178224913
20.764821260510576,21.50260187570161,10.85827202217648,0.06636380150189007
21.33297379220597,22.09094104512905,11.15476084936696,0.06818218590596956
21.877171116260836,22.654473870871577,11.438718311520642,0.06992403038314772
22.319435949162703,23.112452512064984,11.669466363125986,0.07133970666961312
22.75389958166019,23.562352773755695,11.896125064313809,0.07273049288185628
23.237885942164024,24.063535321518586,12.148597324699098,0.07427990403201708
23.743354683412832,24.586963525755287,12.412250768524551,0.07589819467035425
24.298019704655914,25.161335969251788,12.70153552883821,0.07767411594211995
24.854953558739716,25.73805785793178,12.991972474225914,0.07945743377193845
25.29235345889105,26.19099871378745,13.220051467416981,0.0808580934292126
25.734509035475995,26.648864216752706,13.450590718250211,0.08227406498443061
26.21300373120917,27.144359979172403,13.700054977198956,0.08380650407912607
26.70189457676024,27.650621269875238,13.95491550449918,0.08537233919143605
27.241207712354505,28.209096370408545,14.236033456058792,0.08709978690142943
27.812697093874597,28.800890948982023,14.533891397113752,0.08893043243648138
28.275575247847662,29.28021530901255,14.775117517240416,0.09041326716460175
28.741182129838805,29.762365349623888,15.017743942043634,0.09190493579652774
29.203268898297523,30.240870205964413,15.258514470636973,0.09338541863847556
29.676133789109073,30.730536134727043,15.504878691184388,0.09490052808259769
30.20126046608924,31.274320727320113,15.778445097489014,0.0965832018876464
30.77496712749015,31.868411366424336,16.07728765991591,0.09842167627724452
31.258192676649823,32.36880607097727,16.328973087219413,0.09997030819459718
31.742697512987778,32.87052551618336,16.581301210458765,0.10152314020659944
32.18585946642466,33.3294331528859,16.812077423219733,0.10294355670473751
32.662437374577735,33.8229440236613,17.06023288494194,0.10447117129703273
33.17369432322679,34.35236609212347,17.326420375886293,0.10611005350511712
33.7336904887966,34.932259097177486,17.61795386041386,0.10790530217296658
34.28403715915949,35.50215975743196,17.904433030612758,0.10966974698618435
34.70863773378269,35.94184652370718,18.125435071202336,0.11103113074992416
35.139079365034895,36.3875818811863,18.349458793435613,0.11241132125862463
35.622667970013296,36.88835254104513,18.601120619928366,0.11396201957485977
36.11640776361438,37.39963506444375,18.858040842588967,0.11554537243527332
36.66005427960344,37.96259751173705,19.140901862767812,0.11728888970423046
37.225933476185894,38.54858257374163,19.435298950986056,0.11910384330939261
37.680415614689736,39.01921260523873,19.671718635248283,0.12056161056595628
38.13819919136559,39.49326137604204,19.90983464478965,0.12203005669505457
38.60536741298728,39.977028231170934,20.15281027251851,0.12352869873466306
39.083208898308264,40.471847574407526,20.401314310477748,0.12506167651183525
39.6125025952252,41.019947242463296,20.676549444678887,0.12675983382552827
40.1905607761775,41.61854401197403,20.977110022343286,0.12861458154135222
40.665726936611804,42.11059297519123,21.224146766978635,0.13013929882801487
