time,north,up,east,speed,x,y,z
0.0,0.9063077870366499,0.42261826174069944,0.0,950.0,0.0,0.9063077870366499,0.42261826174069944
0.02,18.116281590046356,8.445831942005418,2.2536509576020786e-05,948.829447558504,2.2536509576020786e-05,18.116281590046356,8.445831942005418
0.04,35.30653802969965,16.45599635498041,9.007557438872513e-05,947.6615772412578,9.007557438872513e-05,35.30653802969965,16.45599635498041
0.06,52.47712341065826,24.453137418791027,0.00020251173130442354,946.4963812077448,0.00020251173130442354,52.47712341065826,24.453137418791027
0.08,69.62808390138237,32.43728097258497,0.00035973982687042996,945.3338516378509,0.00035973982687042996,69.62808390138237,32.43728097258497
0.1,86.75946553447682,40.40845277674906,0.0005616550165351994,944.1739807318904,0.0005616550165351994,86.75946553447682,40.40845277674906
0.12000000000000001,103.87131420703774,48.366678513126125,0.000808152763867187,943.0167607106326,0.000808152763867187,103.87131420703774,48.366678513126125
0.14,120.96367568099981,56.31198378523206,0.001099128839772485,941.8621838153249,0.001099128839772485,120.96367568099981,56.31198378523206
0.16,138.0365955834839,64.24439411847294,0.0014344793217112943,940.7102423077164,0.0014344793217112943,138.0365955834839,64.24439411847294
0.18,155.09011940714515,72.16393496036225,0.0018141005929132841,939.5609284700784,0.0018141005929132841,155.09011940714515,72.16393496036225
0.19999999999999998,172.1242925105216,80.07063168073824,0.0022378893415918952,938.4142346052253,0.0022378893415918952,172.1242925105216,80.07063168073824
0.21999999999999997,189.13916011838305,87.9645095719813,0.00270574256015764,937.2701530365329,0.00270574256015764,189.13916011838305,87.9645095719813
0.23999999999999996,206.13476732208048,95.84559384923138,0.0032175575444304506,936.1286761079564,0.0032175575444304506,206.13476732208048,95.84559384923138
0.25999999999999995,223.11115907989574,103.71390965060556,0.003773231892851131,934.9897961840461,0.003773231892851131,223.11115907989574,103.71390965060556
0.27999999999999997,240.06838021739154,111.56948203741555,0.004372663505691956,933.8535056499629,0.004372663505691956,240.06838021739154,111.56948203741555
0.3,257.0064754277618,119.41233599438529,0.005015750584266481,932.7197969114917,0.005015750584266481,257.0064754277618,119.41233599438529
0.32,273.9254892721824,127.2424964298685,0.0057023916301385934,931.5886623950547,0.0057023916301385934,273.9254892721824,127.2424964298685
0.34,290.8254661801619,135.0599881760663,0.006432485444330878,930.4600945477222,0.006432485444330878,290.8254661801619,135.0599881760663
0.36000000000000004,307.70645044989294,142.8648359892448,0.007205931126532316,929.3340858372228,0.007205931126532316,307.70645044989294,142.8648359892448
0.38000000000000006,324.56848624860356,150.65706454995268,0.0080226280743054,928.2106287519538,0.0080226280743054,324.56848624860356,150.65706454995268
0.4000000000000001,341.4116176129087,158.4366984632387,0.008882475982292677,927.089715800987,0.008882475982292677,341.4116176129087,158.4366984632387
0.4200000000000001,358.2358884491622,166.20376225886926,0.009785374841422782,925.971339514078,0.009785374841422782,358.2358884491622,166.20376225886926
0.4400000000000001,375.0413425338087,173.95828039154583,0.010731224938116018,924.8554924416701,0.010731224938116018,375.0413425338087,173.95828039154583
0.46000000000000013,391.8280235137357,181.7002772411223,0.01171992685348951,923.7421671549,0.01171992685348951,391.8280235137357,181.7002772411223
0.48000000000000015,408.59597490662594,189.4297771128225,0.012751381462561976,922.6313562456015,0.012751381462561976,408.59597490662594,189.4297771128225
0.5000000000000001,425.3452401013098,197.14680423745727,0.013825489933458173,921.5230523263077,0.013825489933458173,425.3452401013098,197.14680423745727
0.5200000000000001,442.07586235811766,204.85138277164174,0.014942153726613058,920.4172480302526,0.014942153726613058,442.07586235811766,204.85138277164174
0.5400000000000001,458.78788480923254,212.54353679801235,0.01610127459397568,919.3139360113721,0.01610127459397568,458.78788480923254,212.54353679801235
0.5600000000000002,475.4813504590427,220.22329032544394,0.017302754578212894,918.2131089443034,0.017302754578212894,475.4813504590427,220.22329032544394
0.5800000000000002,492.15630218449434,227.89066728926653,0.018546496011912886,917.1147595243831,0.018546496011912886,492.15630218449434,227.89066728926653
0.6000000000000002,508.8127827354443,235.5456915514821,0.019832401516788584,916.0188804676458,0.019832401516788584,508.8127827354443,235.5456915514821
0.6200000000000002,525.4508347350126,243.18838690098113,0.021160374002880976,914.9254645108199,0.021160374002880976,525.4508347350126,243.18838690098113
0.6400000000000002,542.0705006799353,250.81877705375925,0.022530316667762396,913.8345044113241,0.022530316667762396,542.0705006799353,250.81877705375925
0.6600000000000003,558.6718229409172,258.4368856531334,0.023942132995739777,912.7459929472615,0.023942132995739777,558.6718229409172,258.4368856531334
0.6800000000000003,575.2548437629843,266.04273626995814,0.02539572675705795,911.6599229174141,0.02539572675705795,575.2548437629843,266.04273626995814
0.7000000000000003,591.8196052658363,273.6363524028415,0.026891002007103013,910.5762871412358,0.026891002007103013,591.8196052658363,273.6363524028415
0.7200000000000003,608.3661494441997,281.217757478361,0.028427863085605784,909.4950784588436,0.028427863085605784,608.3661494441997,281.217757478361
0.7400000000000003,624.894518168179,288.7869748512793,0.03000621461584541,908.4162897310107,0.03000621461584541,624.894518168179,288.7869748512793
0.7600000000000003,641.4047531836105,296.34402780475943,0.03162596150385314,907.3399138391554,0.03162596150385314,641.4047531836105,296.34402780475943
0.7800000000000004,657.8968961124133,303.8889395505804,0.03328700893761632,906.2659436853314,0.03328700893761632,657.8968961124133,303.8889395505804
0.8000000000000004,674.3709884529418,311.421733229352,0.03498926238628259,905.1943721922164,0.03498926238628259,674.3709884529418,311.421733229352
0.8200000000000004,690.8270715803377,318.94243191072997,0.03673262759936444,904.1251923031,0.03673262759936444,690.8270715803377,318.94243191072997
